ID,Angle,Measure
16,-90,1
16,-85,1
16,-80,1
16,-75,1
16,-70,1
16,-65,1
16,-60,1
16,-55,1
16,-50,1
16,-45,1
16,-40,1
16,-35,1
16,-30,1
16,-25,1
16,-20,1
16,-15,1
16,-10,1
16,-5,1
16,0,1
16,5,1
16,10,1
16,15,1
16,20,1
16,25,1
16,30,1
16,35,1
16,40,1
16,45,1
16,50,1
16,55,1
16,60,1
16,65,1
16,70,1
16,75,1
16,80,1
16,85,1
16,90,1
22,-90,1
22,-85,1
22,-80,1
22,-75,1
22,-70,1
22,-65,1
22,-60,1
22,-55,1
22,-50,1
22,-45,1
22,-40,1
22,-35,1
22,-30,1
22,-25,1
22,-20,1
22,-15,1
22,-10,1
22,-5,1
22,0,1
22,5,1
22,10,1
22,15,1
22,20,1
22,25,1
22,30,1
22,35,1
22,40,1
22,45,1
22,50,1
22,55,1
22,60,1
22,65,1
22,70,1
22,75,1
22,80,1
22,85,1
22,90,1
38,-90,1
38,-85,1
38,-80,1
38,-75,1
38,-70,1
38,-65,1
38,-60,1
38,-55,1
38,-50,1
38,-45,1
38,-40,1
38,-35,1
38,-30,1
38,-25,1
38,-20,1
38,-15,1
38,-10,1
38,-5,1
38,0,1
38,5,1
38,10,1
38,15,1
38,20,1
38,25,1
38,30,1
38,35,1
38,40,1
38,45,1
38,50,1
38,55,1
38,60,1
38,65,1
38,70,1
38,75,1
38,80,1
38,85,1
38,90,1
44,-90,1
44,-85,1
44,-80,1
44,-75,1
44,-70,1
44,-65,1
44,-60,1
44,-55,1
44,-50,1
44,-45,1
44,-40,1
44,-35,1
44,-30,1
44,-25,1
44,-20,1
44,-15,1
44,-10,1
44,-5,1
44,0,1
44,5,1
44,10,1
44,15,1
44,20,0.7769280000000001
44,25,0.62595
44,30,0.616999
44,35,0.348522
44,40,0.426431
44,45,0.506465
44,50,1
44,55,1
44,60,1
44,65,1
44,70,1
44,75,1
44,80,1
44,85,1
44,90,1
30,-90,0
30,-85,0
30,-80,0.40373
30,-75,1
30,-70,1
30,-65,1
30,-60,1
30,-55,1
30,-50,1
30,-45,1
30,-40,1
30,-35,1
30,-30,1
30,-25,1
30,-20,1
30,-15,1
30,-10,1
30,-5,1
30,0,1
30,5,1
30,10,1
30,15,1
